University,Program,Study Level,Country,Official Website
University of Milan,PhysioTherapy,Bachelors,Italy,https://www.unimi.it/en
King Abdulaziz University (KAU),Master of Health Services and Hospital Management,Masters,Saudi Arabia,http://www.kau.edu.sa
University of Kent,Criminology - MA,Masters,United Kingdom,https://www.kent.ac.uk/?utm_source=QS&utm_medium=paid_referrer&utm_content=main-profile&utm_campaign=PGINT2022
University of Anbar,Pathology And Forensic Medicine,Bachelors,Iraq,https://www.uoanbar.edu.iq/English/index.php
Bogor Agricultural University,Doctor of Agriculture and Rural Development Communication (Development Counseling),PHD,Indonesia,https://ipb.ac.id/
Rochester Institute of Technology (RIT),Microelectronics Manufacturing Engineering ME,Masters,United States,http://www.rit.edu?utm_source=QS&utm_medium=college-directory&utm_campaign=em-international&utm_content=overview
George Mason University,MS Learning Design & Technology,Masters,United States,https://landing.masononline.gmu.edu/brand-af?utm_source=qs&utm_campaign=topuniversities&utm_content=Profile&utm_term=QS
University of Wolverhampton,MSc Molecular Cell Biology,Masters,,http://www.wlv.ac.uk/international
University of the Arts London,BA (Hons) Public Relations,Bachelors,United Kingdom,http://www.arts.ac.uk?utm_source=qs&utm_medium=profile&utm_campaign=referralsites
Swansea University,"Environmental Geoscience, BSc (Hons)",Bachelors,United Kingdom,https://www.swansea.ac.uk/?utm_source=qs&utm_medium=profile&utm_campaign=international20
University of Glasgow,Digital Media & Information Studies/Business & Management,Masters,United Kingdom,https://landing.online.gla.ac.uk/?utm_source=QS&utm_medium=Listing&utm_campaign=Profile_brand_QS
Universidad de Castilla-La Mancha,Early Childhood Education,Bachelors,Spain,http://www.uclm.es
Charles Darwin University ,Bachelor of Arts,Bachelors,Australia,http://www.cdu.edu.au/
Lancaster University,Software Engineering (with Industrial Experience) MSci Hons,Bachelors,United Kingdom,http://www.lancs.ac.uk
University of Bristol,"PhD Exercise, Nutrition and Health",PHD,,https://www.bristol.ac.uk/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=listings
The University of Northampton,Criminal and Corporate Investigation BA (Hons),Bachelors,United Kingdom,http://www.northampton.ac.uk
Alliance Manchester Business School,BSc (Hons) Management (Marketing),Bachelors,United Kingdom,https://qs.topuniversities.com/alliance-manchester-business-school?utm_source=topuni&utm_medium=advanced_profile
